importance,name
5237,Column_158
5131,Column_216
5126,Column_282
4935,Column_24
4921,Column_94
4841,Column_135
4809,Column_249
4798,Column_208
4757,Column_292
4744,Column_156
4739,Column_170
4717,Column_32
4703,Column_294
4699,Column_66
4675,Column_283
4644,Column_155
4644,Column_167
4631,Column_101
4630,Column_120
4628,Column_136
4621,Column_132
4599,Column_13
4586,Column_201
4573,Column_169
4538,Column_75
4531,Column_275
4526,Column_203
4519,Column_278
4517,Column_12
4492,Column_72
4483,Column_69
4482,Column_7
4478,Column_42
4464,Column_230
4461,Column_218
4449,Column_14
4447,Column_21
4437,Column_29
4435,Column_189
4432,Column_226
4426,Column_127
4425,Column_253
4415,Column_147
4387,Column_77
4387,Column_70
4384,Column_146
4381,Column_8
4372,Column_191
4369,Column_192
4368,Column_61
4366,Column_36
4361,Column_35
4342,Column_235
4336,Column_246
4328,Column_1
4327,Column_113
4324,Column_3
4320,Column_239
4310,Column_67
4308,Column_236
4305,Column_160
4301,Column_46
4292,Column_41
4288,Column_223
4284,Column_298
4284,Column_228
4282,Column_184
4274,Column_28
4272,Column_49
4271,Column_152
4267,Column_116
4265,Column_241
4261,Column_262
4256,Column_133
4253,Column_272
4237,Column_91
4235,Column_110
4225,Column_280
4218,Column_247
4208,Column_171
4206,Column_279
4181,Column_183
4180,Column_286
4164,Column_149
4164,Column_15
4158,Column_214
4157,Column_285
4152,Column_142
4150,Column_168
4132,Column_267
4117,Column_234
4116,Column_23
4113,Column_131
4110,Column_250
4104,Column_195
4102,Column_58
4102,Column_281
4097,Column_220
4089,Column_199
4076,Column_55
4075,Column_48
4029,Column_123
4025,Column_180
4015,Column_210
4007,Column_274
3994,Column_25
3973,Column_39
3966,Column_209
3966,Column_44
3963,Column_71
3957,Column_121
3953,Column_87
3948,Column_140
3946,Column_150
3943,Column_157
3943,Column_181
3923,Column_108
3921,Column_198
3917,Column_47
3890,Column_93
3883,Column_213
3876,Column_74
3868,Column_56
3864,Column_299
3852,Column_202
3851,Column_90
3846,Column_141
3844,Column_103
3842,Column_95
3832,Column_81
3830,Column_237
3821,Column_65
3820,Column_207
3818,Column_290
3810,Column_240
3804,Column_251
3797,Column_173
3794,Column_144
3783,Column_4
3779,Column_109
3771,Column_115
3762,Column_161
3752,Column_43
3745,Column_114
3742,Column_62
3726,Column_238
3721,Column_263
3718,Column_166
3710,Column_2
3710,Column_221
3701,Column_17
3698,Column_99
3669,Column_197
3662,Column_255
3651,Column_51
3638,Column_100
3632,Column_63
3629,Column_182
3625,Column_159
3611,Column_296
3609,Column_64
3599,Column_178
3587,Column_187
3577,Column_174
3558,Column_177
3550,Column_277
3545,Column_34
3544,Column_225
3522,Column_185
3510,Column_252
3508,Column_134
3505,Column_107
3488,Column_26
3487,Column_259
3480,Column_270
3463,Column_293
3460,Column_163
3449,Column_118
3384,Column_287
3384,Column_18
3361,Column_19
3353,Column_73
3344,Column_211
3312,Column_219
3301,Column_89
3299,Column_162
3285,Column_175
3284,Column_190
3283,Column_86
3283,Column_153
3259,Column_212
3258,Column_52
3253,Column_38
3252,Column_106
3243,Column_243
3243,Column_276
3241,Column_227
3236,Column_289
3235,Column_297
3234,Column_265
3212,Column_126
3201,Column_11
3189,Column_27
3186,Column_245
3158,Column_257
3157,Column_20
3154,Column_45
3144,Column_264
3132,Column_112
3128,Column_205
3112,Column_224
3109,Column_261
3108,Column_186
3097,Column_254
3094,Column_85
3087,Column_165
3077,Column_33
3051,Column_273
3051,Column_194
3047,Column_84
3041,Column_130
3034,Column_40
2997,Column_248
2993,Column_30
2992,Column_143
2981,Column_22
2976,Column_260
2937,Column_78
2931,Column_9
2927,Column_215
2922,Column_172
2915,Column_233
2879,Column_164
2875,Column_104
2801,Column_204
2798,Column_193
2789,Column_269
2779,Column_79
2743,Column_179
2734,Column_117
2715,Column_98
2707,Column_54
2698,Column_258
2673,Column_37
2665,Column_31
2662,Column_154
2659,Column_102
2656,Column_92
2654,Column_291
2641,Column_16
2617,Column_5
2612,Column_266
2595,Column_128
2592,Column_244
2582,Column_68
2582,Column_50
2553,Column_242
2515,Column_105
2461,Column_222
2460,Column_10
2455,Column_196
2434,Column_138
2407,Column_82
2401,Column_59
2396,Column_97
2372,Column_76
2330,Column_124
2320,Column_83
2316,Column_137
2280,Column_295
2243,Column_206
2235,Column_0
2228,Column_271
2189,Column_148
2173,Column_176
2170,Column_88
2147,Column_6
2139,Column_231
2129,Column_139
2103,Column_288
2097,Column_284
2075,Column_229
2052,Column_125
2025,Column_217
2024,Column_232
1945,Column_57
1943,Column_151
1920,Column_53
1894,Column_80
1862,Column_96
1854,Column_119
1836,Column_188
1788,Column_145
1735,Column_200
1713,Column_60
1688,Column_129
1680,Column_268
1617,Column_122
1614,Column_111
1448,Column_256
